id,display_name,version_updated_on,new_external_id,old_external_id,diff_external_id
1655,Lift iron over edge 5cm in height,2024-07-12T20:31:04.672570Z,bc1d2fa0-0870-49ef-95b9-8c7b9fb079de,MSF-AAAAAA000000000000002435,New External ID
1656,Turn screw with screwdriver,2024-07-12T20:31:03.985637Z,25faa616-1ed1-4f26-9067-72bc9b1a6a1f,MSF-AAAAAA000000000000002436,New External ID
1657,Pick up nuts,2024-07-12T20:31:03.166151Z,dc869595-daed-4c9f-9d0a-197160826247,MSF-AAAAAA000000000000002437,New External ID
1658,Put on tubigrip stocking on the other hand,2024-07-12T20:31:02.378519Z,b249f3be-3c20-4b7f-b896-7381d33b7e87,MSF-AAAAAA000000000000002438,New External ID
1659,Lift wooden cubes over edge 5cm in height,2024-07-12T20:31:01.635161Z,45c2966a-bdd5-492b-9636-fc051d2bdd78,MSF-AAAAAA000000000000002439,New External ID
1660,Open/close zip,2024-07-12T20:31:00.921996Z,f3ca7aad-8db9-4ed8-8b21-0e33411ae27a,MSF-AAAAAA000000000000002440,New External ID
1662,Unscrew lid of jars,2024-07-12T20:29:03.348316Z,14267697-7c71-4fc5-8bc1-5948da3ecb67,MSF-AAAAAA000000000000002442,New External ID
1663,Put paper-clip on envelope,2024-07-12T20:29:02.554136Z,ec28d8de-8e2f-4ab4-b978-ef56636a7fa4,MSF-AAAAAA000000000000002443,New External ID
1664,"Lift telephone receiver, put to ear",2024-07-12T20:29:01.865920Z,543091c5-420b-46c1-a5b5-8043328d7850,MSF-AAAAAA000000000000002444,New External ID
1665,Turn door-handle,2024-07-12T20:29:01.233855Z,5bf84356-9538-4cd5-9a43-66c1678f4ba9,MSF-AAAAAA000000000000002445,New External ID
1666,Pour water from Pure-pak,2024-07-12T20:29:00.594726Z,a27971c5-94ae-4638-9bf7-d0de4541b584,MSF-AAAAAA000000000000002446,New External ID
1667,Pour water from jug,2024-07-12T20:28:59.828881Z,be6da407-1118-4124-b93c-f882c400c6fb,MSF-AAAAAA000000000000002447,New External ID
1689,Encounter end time,2024-07-12T20:28:59.185897Z,1e4e3bb9-8161-40bd-b5f3-11114d865df9,MSF-AAAAAA000000000000002574,New External ID
1691,Primary tumor,2024-07-12T20:28:58.474228Z,475533fc-3bef-4950-9121-02b1c599bd77,MSF-AAAAAA000000000000002576,New External ID
1692,Recurrent tumor,2024-07-12T20:28:57.773176Z,d2146deb-524b-4c3a-920e-8fd9a2fd236b,MSF-AAAAAA000000000000002577,New External ID
1874,Antibioprophylaxis details,2024-07-12T20:28:56.974007Z,92613f78-1518-4eba-9ca6-a0e1b63bf62a,MSF-AAAAAA000000000000002994,New External ID
2461,Malaria unconfirmed,2024-07-12T20:28:56.220865Z,02c96f83-e4de-4049-93f5-f478c997cfc0,4,New External ID
2469,Gyneco-obstetrical emergencies,2024-07-12T20:28:55.461852Z,78cfb1ac-20c1-4489-b957-01232ddba263,12,New External ID
1552,Patient outcome,2024-07-12T20:27:30.487999Z,9e861ef1-e07c-4955-9650-2ebac3138fc3,MSF-AAAAAA000000000000001952,New External ID
1747,Wheelchair,2024-07-12T18:45:58.654245Z,922cd12c-5f6a-4de7-bae7-d19fa243fb2b,922cd12c-5f6a-4de7-bae7-d19fa243fb2b,No difference
1745,Two elbow crutches,2024-07-12T18:45:57.960920Z,5a6e2a4e-1006-4f99-a8b9-77306c871a92,5a6e2a4e-1006-4f99-a8b9-77306c871a92,No difference
1743,Two axillary crutches,2024-07-12T18:45:57.292969Z,c12111d2-6bf3-4a23-82c1-d6cf1c825643,c12111d2-6bf3-4a23-82c1-d6cf1c825643,No difference
665,Toe,2024-07-12T18:45:56.475122Z,79b7be0c-87e1-4cd6-8205-fc26baeaa20c,79b7be0c-87e1-4cd6-8205-fc26baeaa20c,No difference
921,Social exclusion,2024-07-12T18:45:55.749383Z,07bc45f6-d898-4f7d-bad6-a4c5a9779a97,07bc45f6-d898-4f7d-bad6-a4c5a9779a97,No difference
1741,Orthosis,2024-07-12T18:45:55.059110Z,c9c9fc60-50ee-40d9-96fb-22da95f6a75b,c9c9fc60-50ee-40d9-96fb-22da95f6a75b,No difference
1744,One elbow crutch,2024-07-12T18:45:54.273521Z,093bb497-9601-47c7-9ac3-40bc2a0f80d9,093bb497-9601-47c7-9ac3-40bc2a0f80d9,No difference
1742,One axillary crutch,2024-07-12T18:45:53.626475Z,6bb67fe0-a941-4100-ab8c-f43960eed171,6bb67fe0-a941-4100-ab8c-f43960eed171,No difference
601,"Knee, popliteal fossa",2024-07-12T18:45:52.992563Z,dd2a66f2-a495-4c69-b1df-fbab4088b935,dd2a66f2-a495-4c69-b1df-fbab4088b935,No difference
1509,First session,2024-07-12T18:45:52.371593Z,428825e2-73ec-407e-9988-e9646f1d1f14,428825e2-73ec-407e-9988-e9646f1d1f14,No difference
582,Finger,2024-07-12T18:45:51.711478Z,2a64e259-f7ac-470e-b34c-095d33ff336c,2a64e259-f7ac-470e-b34c-095d33ff336c,No difference
892,Feeling of hopeless,2024-07-12T18:45:50.991138Z,ec2bcaba-7349-4e74-8cbe-fe8bd2dbbc4f,ec2bcaba-7349-4e74-8cbe-fe8bd2dbbc4f,No difference
1746,Cane,2024-07-12T18:45:50.303893Z,76e335e2-6c93-4927-adf3-959558992410,76e335e2-6c93-4927-adf3-959558992410,No difference
7,Other,2024-07-12T18:45:49.575978Z,790b41ce-e1e7-11e8-b02f-0242ac130002,790b41ce-e1e7-11e8-b02f-0242ac130002,No difference
575,Femoral nerve,2024-07-12T18:45:48.789162Z,5664dfad-31ce-4af3-a26d-ad4e48a6e1ab,5664dfad-31ce-4af3-a26d-ad4e48a6e1ab,No difference
2069,Full range of motion,2024-07-12T18:45:48.073715Z,5cb10a53-4074-483e-9c05-520a045e7ff7,5cb10a53-4074-483e-9c05-520a045e7ff7,No difference
2068,Partial range of motion,2024-07-12T18:45:47.428022Z,3932294d-46cb-4e32-a4bc-1db3235c301b,3932294d-46cb-4e32-a4bc-1db3235c301b,No difference
3107,Type of assitive device given,2024-07-12T18:45:46.729381Z,415b4fc6-aa41-4b54-a0ec-b1570a16980f,415b4fc6-aa41-4b54-a0ec-b1570a16980f,No difference
3096,Fine hand use and Selfcare,2024-07-12T18:45:46.077326Z,13c777e2-6d5a-4c1b-91e3-49a51992fdd3,13c777e2-6d5a-4c1b-91e3-49a51992fdd3,No difference
3085,No mobilisation,2024-07-12T18:45:45.388059Z,17b152fa-6689-4770-a11c-61525f2a9e0c,17b152fa-6689-4770-a11c-61525f2a9e0c,No difference
3118,Chest Physiotherapy intervention,2024-07-12T18:45:44.605274Z,aa897ba1-a7cd-4da7-89d3-6ffd10d5c3e0,aa897ba1-a7cd-4da7-89d3-6ffd10d5c3e0,No difference
3114,PHY - Type of session,2024-07-12T18:45:43.930120Z,6ce49093-3441-4065-ad88-28cce00811b7,6ce49093-3441-4065-ad88-28cce00811b7,No difference
3117,Discharge session,2024-07-12T18:45:43.207811Z,03ad0467-31d4-430c-8928-77a519e350a5,03ad0467-31d4-430c-8928-77a519e350a5,No difference
3115,Follow up session,2024-07-12T18:45:42.563086Z,f5dc7cdd-dc1b-4a83-8981-ec03b390149e,f5dc7cdd-dc1b-4a83-8981-ec03b390149e,No difference
3113,PHY - Plan for next session,2024-07-12T18:45:41.976145Z,622f9ba8-e19e-4e6f-aa90-080663b23566,622f9ba8-e19e-4e6f-aa90-080663b23566,No difference
3112,Defaulter - other reasons,2024-07-12T18:45:41.365922Z,ed1ad93d-0ed4-4900-9818-9c367bc3a6db,ed1ad93d-0ed4-4900-9818-9c367bc3a6db,No difference
3111,Patient moved to another location,2024-07-12T18:45:40.757386Z,b0c8ab49-4de6-427a-bb25-73b9d929f243,b0c8ab49-4de6-427a-bb25-73b9d929f243,No difference
3110,Patient refused to come back,2024-07-12T18:45:40.136276Z,144555bf-8172-4196-946b-905e960856c9,144555bf-8172-4196-946b-905e960856c9,No difference
1459,Lost to follow up,2024-07-12T18:45:39.377232Z,d305b208-354f-4bb7-b35a-df4f8d92c256,d305b208-354f-4bb7-b35a-df4f8d92c256,No difference
2913,Patient died,2024-07-12T18:45:38.601671Z,5cd3f794-8cbe-4f85-8582-72200a421ff7,5cd3f794-8cbe-4f85-8582-72200a421ff7,No difference
3109,PHY - External referral,2024-07-12T18:45:37.750409Z,20b084bf-79af-499a-8c7c-ba2c7bd1cf6d,20b084bf-79af-499a-8c7c-ba2c7bd1cf6d,No difference
3108,PHY - Internal referral,2024-07-12T18:45:36.942252Z,fbd7ab87-3406-400f-9e27-b655187be96e,fbd7ab87-3406-400f-9e27-b655187be96e,No difference
3106,Assistive products return,2024-07-12T18:45:36.304371Z,e01661a2-19d8-4175-845a-40436f1b0f66,e01661a2-19d8-4175-845a-40436f1b0f66,No difference
3105,Other assistive device,2024-07-12T18:45:35.701381Z,6faca211-27bd-43ae-93c8-5a0a22ad2814,6faca211-27bd-43ae-93c8-5a0a22ad2814,No difference
3104,Other prefabicrated orthosis,2024-07-12T18:45:35.121702Z,8da4d97e-904c-417f-89d0-2abd78713d04,8da4d97e-904c-417f-89d0-2abd78713d04,No difference
3103,Wrist prefabicrated orthosis,2024-07-12T18:45:34.505033Z,731e224a-9456-4679-81be-70b6d27cb3fa,731e224a-9456-4679-81be-70b6d27cb3fa,No difference
3102,Ankle foot prefabicrated orthosis,2024-07-12T18:45:33.904569Z,3a876f22-5d18-4dd6-b0af-cf42f3cd39b9,3a876f22-5d18-4dd6-b0af-cf42f3cd39b9,No difference
3101,Shoe raise insert,2024-07-12T18:45:33.243685Z,7019c9fd-2235-4ce5-b5ee-0e40761c06f2,7019c9fd-2235-4ce5-b5ee-0e40761c06f2,No difference
3100,Other wheeled mobility aids,2024-07-12T18:45:32.619915Z,20cb3ac2-5521-484a-baba-a1e106e9893a,20cb3ac2-5521-484a-baba-a1e106e9893a,No difference
3099,Assistive products provision,2024-07-12T18:45:31.969221Z,93aa4a40-17c4-483f-86d4-c06cf92a8c0d,93aa4a40-17c4-483f-86d4-c06cf92a8c0d,No difference
2907,PHY - Information/education,2024-07-12T18:45:31.277747Z,ed0d4007-f9d2-44dd-aed1-12118c1ca5d0,ed0d4007-f9d2-44dd-aed1-12118c1ca5d0,No difference
2899,PHY - Other techniques,2024-07-12T18:45:30.584767Z,d5909ae3-286a-4fa1-89e5-182ba047eb17,d5909ae3-286a-4fa1-89e5-182ba047eb17,No difference
3098,Active ROM / Strengthening/ Endurance exercise,2024-07-12T18:45:29.886933Z,1753042f-1267-475e-94f2-38f0b1ba88f9,1753042f-1267-475e-94f2-38f0b1ba88f9,No difference
2896,Passive ROM/ Stretching exercise,2024-07-12T18:45:29.209538Z,8b0a6a32-d4e3-4e64-b251-5daa13bcab35,8b0a6a32-d4e3-4e64-b251-5daa13bcab35,No difference
3097,Chest physiotherapy intervention,2024-07-12T18:45:28.500639Z,c41e6add-5274-4e50-9de2-52081c751119,c41e6add-5274-4e50-9de2-52081c751119,No difference
2893,Gait and stairs training,2024-07-12T18:45:27.829630Z,543efb7d-8dd3-4297-a511-7eb92ad247c3,543efb7d-8dd3-4297-a511-7eb92ad247c3,No difference
2898,Positioning exercise,2024-07-12T18:45:27.215802Z,b5abc579-57b8-4e1d-ba08-0b515435375e,b5abc579-57b8-4e1d-ba08-0b515435375e,No difference
2892,Other transfers and balance exercises,2024-07-12T18:45:26.394568Z,04e8738b-b3c8-4d3b-8c7a-804868e5a34c,04e8738b-b3c8-4d3b-8c7a-804868e5a34c,No difference
3095,Bed mobility intervention,2024-07-12T18:45:25.621594Z,9c5236a6-0eff-4bd3-b05c-3a671bfd88cb,9c5236a6-0eff-4bd3-b05c-3a671bfd88cb,No difference
2886,Physiotherapy intervention done during visit?,2024-07-12T18:45:24.839992Z,18f9c8b1-3158-4730-be32-07af4ad2c834,18f9c8b1-3158-4730-be32-07af4ad2c834,No difference
2512,Other psychosocial factors,2024-07-12T18:45:23.995942Z,9ee04b4e-8427-43a5-abd1-94f303144ab0,9ee04b4e-8427-43a5-abd1-94f303144ab0,No difference
2871,Other psychosocial strengths,2024-07-12T18:45:23.376418Z,765bdefd-2cc0-4d16-944c-01c03e259d1c,765bdefd-2cc0-4d16-944c-01c03e259d1c,No difference
2879,Other psychosocial difficulties,2024-07-12T18:45:22.777077Z,e259decd-6d09-451c-8653-ef66fd484a67,e259decd-6d09-451c-8653-ef66fd484a67,No difference
2863,Relevant psychosocial difficulties observed,2024-07-12T18:45:22.164246Z,446612e6-3170-4070-b8ee-87aff911c441,446612e6-3170-4070-b8ee-87aff911c441,No difference
2862,Relevant psychosocial strengths observed,2024-07-12T18:45:21.488695Z,b9191c5e-e269-4514-bf6e-35ce1e44a222,b9191c5e-e269-4514-bf6e-35ce1e44a222,No difference
2858,Difficulties experienced supporting the patient,2024-07-12T18:45:20.775015Z,71041a1e-4a0a-4494-9713-8232f5231ecd,71041a1e-4a0a-4494-9713-8232f5231ecd,No difference
2857,Do you know which exercises it would be good to perform?,2024-07-12T18:45:20.075337Z,2f6db1aa-44c7-4677-813f-d09d903d708e,2f6db1aa-44c7-4677-813f-d09d903d708e,No difference
2856,Do you have any information on the patient's injury and potential complications?,2024-07-12T18:45:19.417578Z,2b9506f2-87ce-4151-bb32-c91ddee11c6d,2b9506f2-87ce-4151-bb32-c91ddee11c6d,No difference
2850,Total AIM -T score,2024-07-12T18:45:18.725105Z,d60f8b82-53c3-4d8f-bbb2-147387f2d7a8,d60f8b82-53c3-4d8f-bbb2-147387f2d7a8,No difference
2849,Total upper limb score,2024-07-12T18:45:18.108380Z,dfa08904-fcb5-4f16-9e00-021905be23e1,dfa08904-fcb5-4f16-9e00-021905be23e1,No difference
2848,Ability to lift 5 kg above shoulder level,2024-07-12T18:45:17.474921Z,358576cb-9100-4978-b4c5-91e45bed866d,358576cb-9100-4978-b4c5-91e45bed866d,No difference
2847,Ability to lift hands to face and neck,2024-07-12T18:45:16.794347Z,d8966d34-b1be-4d63-aac4-fc61b377acd9,d8966d34-b1be-4d63-aac4-fc61b377acd9,No difference
2846,Ability to reach back and grasp clothes,2024-07-12T18:45:16.037609Z,571c5f8f-7779-43ab-b208-f468724cd327,571c5f8f-7779-43ab-b208-f468724cd327,No difference
3034,Open a bottle/jar,2024-07-12T18:45:15.325282Z,ca056b40-bd13-4ffc-8d51-3431268c48cf,ca056b40-bd13-4ffc-8d51-3431268c48cf,No difference
2845,Ability to pick up and manipulate small object,2024-07-12T18:45:14.590891Z,5568357f-1dd1-4175-9dac-3d3e02741621,5568357f-1dd1-4175-9dac-3d3e02741621,No difference
2794,Total lower limb score,2024-07-12T18:45:13.958537Z,206b9d0f-2e60-4d8d-91a2-d8b09b43f4dc,206b9d0f-2e60-4d8d-91a2-d8b09b43f4dc,No difference
2798,Total core score,2024-07-12T18:45:13.276690Z,0bbab8ae-bec1-46d8-90e8-98e2167b7430,0bbab8ae-bec1-46d8-90e8-98e2167b7430,No difference
3011,Climb up or down 10 steps,2024-07-12T18:45:12.588450Z,e1dfeddf-3306-4726-80b9-2ae8ea11a526,e1dfeddf-3306-4726-80b9-2ae8ea11a526,No difference
2789,Ability to walk less than fifty meters,2024-07-12T18:45:11.879731Z,08733911-d162-48d9-b520-b77c4adcf382,08733911-d162-48d9-b520-b77c4adcf382,No difference
2786,Ability to kneel and stand up,2024-07-12T18:45:11.081222Z,89e8ad1f-20ba-4e8d-8e00-67a6802eec44,89e8ad1f-20ba-4e8d-8e00-67a6802eec44,No difference
2787,Ability to stand up,2024-07-12T18:45:10.399073Z,4350eaa7-956b-448d-9e71-945854cc012c,4350eaa7-956b-448d-9e71-945854cc012c,No difference
2796,Ability to sit up,2024-07-12T18:45:09.640335Z,100fc4bd-22c9-4822-9693-a04eef032585,100fc4bd-22c9-4822-9693-a04eef032585,No difference
3094,Not Assessed,2024-07-12T18:45:08.916058Z,966250a6-d1cc-4cce-9c08-d763e6111f0a,966250a6-d1cc-4cce-9c08-d763e6111f0a,No difference
2795,Roll over,2024-07-12T18:45:08.316880Z,a3b96f14-5cf3-46ea-8009-7b0320880801,a3b96f14-5cf3-46ea-8009-7b0320880801,No difference
2639,Pain description and management plan (text),2024-07-12T18:45:07.599534Z,e65cb00c-d2b5-4e7c-af67-3a8f42cfc920,e65cb00c-d2b5-4e7c-af67-3a8f42cfc920,No difference
3093,PHY - Pain intensity (VAS),2024-07-12T18:45:06.908137Z,5bd34b54-beb5-48ce-ac79-1cce832ad1a7,5bd34b54-beb5-48ce-ac79-1cce832ad1a7,No difference
1630,None,2024-07-12T18:45:06.265303Z,dc77c73a-5ce5-4aac-821e-81f19f81b65f,dc77c73a-5ce5-4aac-821e-81f19f81b65f,No difference
3092,Pain body side,2024-07-12T18:45:05.328296Z,d5891214-0540-4d86-8544-accf7a96b736,d5891214-0540-4d86-8544-accf7a96b736,No difference
753,Pain site,2024-07-12T18:45:04.601594Z,713dc30d-c80d-4bd2-a873-575b0cdbf885,713dc30d-c80d-4bd2-a873-575b0cdbf885,No difference
3010,Respiratory notes,2024-07-12T18:45:03.897764Z,4c69f9d4-75aa-46ca-96a5-1b782fa78adb,4c69f9d4-75aa-46ca-96a5-1b782fa78adb,No difference
2572,Decreased Breath Sounds,2024-07-12T18:45:03.212104Z,e87dabfe-410e-49a3-baaa-e0bd1ff282f6,e87dabfe-410e-49a3-baaa-e0bd1ff282f6,No difference
2571,Respiratory crackles,2024-07-12T18:45:02.433078Z,9111a36f-ca53-4720-8fc1-2ad76eb6e43e,9111a36f-ca53-4720-8fc1-2ad76eb6e43e,No difference
2570,Diminished breath sounds - Silent,2024-07-12T18:45:01.655575Z,c9402b30-81a7-4b8f-874e-6ce6725d81c0,c9402b30-81a7-4b8f-874e-6ce6725d81c0,No difference
2569,Clear to auscultation,2024-07-12T18:45:00.913370Z,57bd6c8c-ec32-4557-899e-33f0428bef9f,57bd6c8c-ec32-4557-899e-33f0428bef9f,No difference
2506,Respitatory assessment sound,2024-07-12T18:44:59.856134Z,8ce0dc1d-7c33-4280-a33c-baec95089a51,8ce0dc1d-7c33-4280-a33c-baec95089a51,No difference
3091,Base,2024-07-12T18:44:59.194290Z,e824ffc0-8924-4835-88cf-4145f7cc47ac,e824ffc0-8924-4835-88cf-4145f7cc47ac,No difference
3090,Apex,2024-07-12T18:44:58.498047Z,919b6c25-0d7c-4936-9c18-f7b9d2a90eda,919b6c25-0d7c-4936-9c18-f7b9d2a90eda,No difference
2574,Respiratory location,2024-07-12T18:44:57.848342Z,5ec740b0-eaf5-4de5-a1a2-755f9c0b066b,5ec740b0-eaf5-4de5-a1a2-755f9c0b066b,No difference
2582,Deep Venous Thrombosis (DVT),2024-07-12T18:44:57.217857Z,8c534a60-78af-4090-8bb1-f477ea14c52c,8c534a60-78af-4090-8bb1-f477ea14c52c,No difference
2584,Bed Sore on Heel,2024-07-12T18:44:56.596735Z,40f13154-7db7-41df-9c94-69c72465e9b4,40f13154-7db7-41df-9c94-69c72465e9b4,No difference
1058,Insertion of central line,2024-07-12T18:44:55.791041Z,bf4c42c7-bd91-4efd-8721-60db66c370e2,bf4c42c7-bd91-4efd-8721-60db66c370e2,No difference
285,Pelvic fracture,2024-07-12T18:44:55.019796Z,7b913e46-c5d8-45a0-ade5-0e422a05d767,7b913e46-c5d8-45a0-ade5-0e422a05d767,No difference
1384,Intensive Care Unit,2024-07-12T18:44:54.177589Z,897751f5-b7a2-4e7c-90bb-986abb08b81b,897751f5-b7a2-4e7c-90bb-986abb08b81b,No difference
722,Date of Injury,2024-07-12T18:44:53.401697Z,a1359615-0460-46c6-b88c-f35867b4ba1e,a1359615-0460-46c6-b88c-f35867b4ba1e,No difference
1001,Inpatient department,2024-07-12T18:44:52.718002Z,1023b06b-aade-4a59-a73e-3ea630bc6c39,1023b06b-aade-4a59-a73e-3ea630bc6c39,No difference
1024,Biopsy of bone,2024-07-12T18:44:52.037401Z,d0027e25-ae94-4e45-b8f6-032017985415,d0027e25-ae94-4e45-b8f6-032017985415,No difference
1026,Bone graft,2024-07-12T18:44:51.258185Z,e3243eba-4d4c-4922-ab77-ad108c9c950c,e3243eba-4d4c-4922-ab77-ad108c9c950c,No difference
1037,Delayed suture of wound,2024-07-12T18:44:50.530854Z,daeda1df-a1b4-4671-9b4a-6598bf31ba34,daeda1df-a1b4-4671-9b4a-6598bf31ba34,No difference
1999,"Healing, not infected",2024-07-12T18:44:49.808088Z,24956324-2789-4535-88d3-7e3ceae4b7c2,24956324-2789-4535-88d3-7e3ceae4b7c2,No difference
2000,Not healing,2024-07-12T18:44:49.137582Z,a48fd009-871b-4959-9ffb-1965d4d221d2,a48fd009-871b-4959-9ffb-1965d4d221d2,No difference
2007,Exudate aspect,2024-07-12T18:44:48.386504Z,6a7956d4-87bc-45c7-8ed3-d85fac2c2980,6a7956d4-87bc-45c7-8ed3-d85fac2c2980,No difference
1062,Insertion of drain or tube,2024-07-12T18:44:47.592161Z,93db5970-21f2-486b-ae7c-6506f607f4b3,93db5970-21f2-486b-ae7c-6506f607f4b3,No difference
1063,Removal of drain or tube,2024-07-12T18:44:46.814205Z,0b9a9341-fb14-4ead-b88e-36fbf2811e80,0b9a9341-fb14-4ead-b88e-36fbf2811e80,No difference
2010,Purulent,2024-07-12T18:44:46.068571Z,0db1f8ce-575a-43bf-9fca-58c4155d7e94,0db1f8ce-575a-43bf-9fca-58c4155d7e94,No difference
2015,Hyperkeratinized,2024-07-12T18:44:45.298106Z,166bd6a2-94c0-4e7e-889a-4b9871489bc4,166bd6a2-94c0-4e7e-889a-4b9871489bc4,No difference
2021,Edema,2024-07-12T18:44:44.468313Z,754d677f-316c-4c31-999d-a328fb8b17e1,754d677f-316c-4c31-999d-a328fb8b17e1,No difference
2022,Eczema,2024-07-12T18:44:43.663504Z,f6733c34-3a87-4444-8a52-4f61ba9d9e78,f6733c34-3a87-4444-8a52-4f61ba9d9e78,No difference
2023,Erythema,2024-07-12T18:44:42.823044Z,f549a79c-ebc0-45dd-8a8a-43c24cf49764,f549a79c-ebc0-45dd-8a8a-43c24cf49764,No difference
2027,Normal saline,2024-07-12T18:44:41.868701Z,186d438e-98a2-4955-92dd-20781ff6ef1a,186d438e-98a2-4955-92dd-20781ff6ef1a,No difference
1082,Osteotomy,2024-07-12T18:44:41.078571Z,5fecd84b-ea02-4751-917a-574834caaecd,5fecd84b-ea02-4751-917a-574834caaecd,No difference
2028,7.5% povidone iodine soap solution,2024-07-12T18:44:40.295655Z,3f26398a-b656-4dff-bcca-a5d311af972b,3f26398a-b656-4dff-bcca-a5d311af972b,No difference
2029,Chlorhexidine gluconate 4% soap solution,2024-07-12T18:44:39.538017Z,ca7a9d22-cfc9-4c60-90af-17bf70699ea7,ca7a9d22-cfc9-4c60-90af-17bf70699ea7,No difference
2030,Wound debridement,2024-07-12T18:44:38.831180Z,afbc0c03-5270-46f8-b309-9c0b50f62ed3,afbc0c03-5270-46f8-b309-9c0b50f62ed3,No difference
2034,10% povidone iodine solution,2024-07-12T18:44:38.133295Z,48904fc6-500d-4525-b9bf-ef4ba91c35d9,48904fc6-500d-4525-b9bf-ef4ba91c35d9,No difference
2035,0.5% chlorhexidine gluconate solution,2024-07-12T18:44:37.383800Z,f090fccb-9600-4608-ae20-4af1f99316d8,f090fccb-9600-4608-ae20-4af1f99316d8,No difference
1099,Removal of an external fixation device,2024-07-12T18:44:36.711839Z,6787b473-1a3f-46bf-8af2-994c66fecf72,6787b473-1a3f-46bf-8af2-994c66fecf72,No difference
2045,Zinc oxide,2024-07-12T18:44:35.947553Z,a4a1733b-7fd1-4e02-9fb3-a9c805b70a17,a4a1733b-7fd1-4e02-9fb3-a9c805b70a17,No difference
1101,Removal of foreign body or device from skin and subcutaneous cell tissue,2024-07-12T18:44:35.230404Z,7f95faf2-7c43-4943-80da-326be45ada89,7f95faf2-7c43-4943-80da-326be45ada89,No difference
1106,Removal of sutures,2024-07-12T18:44:34.492810Z,b1fe7d0c-4a8a-463e-9675-42973428400c,b1fe7d0c-4a8a-463e-9675-42973428400c,No difference
1124,Thoracotomy,2024-07-12T18:44:33.655207Z,86921582-c4d2-47b8-8642-d758ed18e576,86921582-c4d2-47b8-8642-d758ed18e576,No difference
1140,Exploratory laparotomy,2024-07-12T18:44:32.889543Z,0079d0c7-decb-4e79-ad7c-a4e5a7e75e94,0079d0c7-decb-4e79-ad7c-a4e5a7e75e94,No difference
